PROMOTOR-GESTOR,ACCES,TIPUS VELOCITAT,TIPUS CONNEXIÓ,LATITUD,LONGITUD,DESIGNACIÓ-DESCRIPTIVA,POTENCIA,TIPUS DE CORRENT,INDENTIFICADOR,ADREÇA,PROVINCIA,CODIPROV,MUNICIPI,NPLACES ESTACIÓ,TIPUS VEHICLE,Columna amb georeferència,LIMADM_MUNICIPI,LIMADM COMARCA
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.401478,2.156578,B:SM 56 - Plaça del Sol,,,BAMSA001,"Plaça del Sol, 5",Barcelona,8,Barcelona,1,cotxe,POINT (2.156578 41.401478),512,29
,,semiRAPID,TESLA i MENNEKES,41.40548,2.19148,CC Glories (22kW),22,AC,,Avinguda Diagonal 208,Barcelona,8,Barcelona,14,,POINT (2.19148 41.40548),512,29
,,,MENNEKES.F,41.08438,1.036,EdRsR Cooperativa de Cambrils (AC22kW),22,AC,,"Carretera de Cambrils - Montbrió, km 2",Tarragona,43,Cambrils,2,,POINT (1.036 41.08438),158,39
,,semiRAPID,2xMENNEKES.F,41.079048,1.132352,EdRsR Salou (AC22kW),22,AC,,"Avinguda Roma,11",Tarragona,43,Salou,,,POINT (1.132352 41.079048),160,37
MERCABARNA,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.33003,2.11496,EdRR- Mercabarna (DC50kW AC43kW),50,AC-DC,FC013,Aparcament Mercabarna,Barcelona,8,Barcelona,1,cotxe,POINT (2.11496 41.33003),512,29
PETREM,ESTACIÓ DE SERVEI,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.98951,2.79539,EdRR E.S. PETREM ECO Girona (DC50kW AC43kW),50,AC-DC,,"Carretera Antiga d'Amer, 1",Girona,17,Girona,2,cotxe,POINT (2.79539 41.98951),133,14
InterAparcament,APARCAMENT PUBLIC,NORMAL,Schuko,41.378017,2.176001,105 InterAparcament Rambla Plç.Colon,,,,"Rambla de Santa Mònica, 20",Barcelona,8,Barcelona,2,cotxe,POINT (2.176001 41.378017),512,29
Endesa,VIA PUBLICA,NORMAL,Schuko,41.397507,2.119605,05 AjBCN-Endesa Domínguez Miralles- J.V.Foix,,,LC030,"Avinguda Josep Vicenç Foix, 86",Barcelona,8,Barcelona,2,moto,POINT (2.119605 41.397507),512,29
Institut Català d'Energia i Ajuntament de Reus,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.15799,1.10527,EdRR Reus Pl.Llibertat (DC50kW AC43kW),50,AC-DC,PIRVEC-3,"Carrer Ample, 2",Tarragona,43,Reus,2,cotxe,POINT (1.10527 41.15799),421,39
Generalitat de Catalunya,Aparcament Estació,NORMAL,Schuko,41.53044,2.08878,Intercanviador FGC Sant Quirze,,,FGCSQZE,Carretera de Molins de Rei - Avinguda Països Catalans,Barcelona,8,SANT QUIRZE DEL VALLÈS,2,cotxe i moto,POINT (2.08878 41.53044),914,26
Ajuntament Cambrils,VIA PUBLICA,NORMAL,MENNEKES.F+Schuko,41.07451,1.0526,Cambrils 2 (3.6kW),,,,Plaça de la Vila,Tarragona,43,Cambrils,2,cotxe i moto,POINT (1.0526 41.07451),158,39
Endesa,VIA PUBLICA,NORMAL,Schuko,41.41396,2.142913,01 AjBCN-Endesa-Clinica Delfos,,,LC015,"Avinguda de Vallcarca, 154",Barcelona,8,Barcelona,2,moto,POINT (2.142913 41.41396),512,29
Institut Català d'Energia i Ajuntament de Lleida,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.60766,0.62231,EdRR Lleida (DC50kW AC43kW),50,AC-DC,PIRVEC-8,"Carrer Jaume II, 73",Lleida,25,Lleida,2,cotxe,POINT (0.62231 41.60766),875,21
,,semiRAPID,2xMENNEKES.F,41.54151,1.89236,EdRsR Olesa 1 (AC22kW),22,AC,,"Carrer d'Alfons Sala, 88",Barcelona,8,Olesa de Montserrat,,,POINT (1.89236 41.54151),699,31
CC Anec Blau,APARCAMENT CC,NORMAL,Schuko,41.283698,1.98725,CC Anec Blau,,,,"Rotonda Can Rabadà, 16",Barcelona,8,Castelldefels,1,cotxe i moto,POINT (1.98725 41.283698),539,31
BIMSA,VIA PUBLICA,NORMAL,Schuko,41.393228,2.145784,Lateral-Muntanya Diagonal (Travessera Gràcia) 2,,,LC048,"Avinguda Diagonal, 598",Barcelona,8,Barcelona,2,moto,POINT (2.145784 41.393228),512,29
SOFOS ENERGIA,APARCAMENT PRIVAT,NORMAL,Schuko,41.614821,0.684832,P.I. CIM-Els Frares SOFOS ENERGIA,,,,"Poligon CIM-Els Frares , Vial A , Nau 5",Lleida,25,Lleida,1,,POINT (0.684832 41.614821),875,21
TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,42.27591,2.95365,TESLA Destinació - Hotel Empordà Figueres (11kW),11,AC,,"Avinguda de Salvador Dalí i Domènech, 170",Girona,17,Figueres,1,cotxe,POINT (2.95365 42.27591),191,6
,,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.18305,0.56667,EdRsR Ascó-Unió (AC22kW),22,AC,,"Carrer Unió, 8",Tarragona,43,Ascó,2,cotxe i moto,POINT (0.56667 41.18305),462,36
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.379272,2.169613,B:SM 49 - Sant Rafael,,,BAMSA006,"Carrer de Sant Rafael, 15",Barcelona,8,Barcelona,4,cotxe,POINT (2.169613 41.379272),512,29
GAICU,VIA PUBLICA,semiRAPID,MENNEKES.F,41.375444,2.189039,(eTAXI) Barceloneta - Joan de Borbó (7.4kW),7.5,AC,QC003,"Passeig Joan de Borbó - Carrer de la Drassana, 1",Barcelona,8,Barcelona,2,taxi,POINT (2.189039 41.375444),512,29
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.41907,2.17938,B:SM Mercat del Guinardó,,,,"Carrer de Teodor Llorente, 12",Barcelona,8,Barcelona,,cotxe i moto,POINT (2.17938 41.41907),512,29
Institut Català d'Energia i Ajuntament d'Olot,,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,42.18898,2.49879,EdRR Olot 2 La Rodona (DC50kW AC22kW) PIRVEC-17,50,AC-DC,PIRVEC-17,"Carretera de les Tries, 1",Girona,17,Olot,2,,POINT (2.49879 42.18898),294,10
,APARCAMENT HOTEL,superRAPID,TESLA,41.85889,2.76771,TESLA Supercarregador - PGA Caldes de Malavella (120kW),120,DC,,"Carretera N-II, km 701",Girona,17,Caldes de Malavella,10,cotxe,POINT (2.76771 41.85889),654,20
Aparcament Sofia,APARCAMENT PÚBLIC,NORMAL,Schuko,41.234074,1.80405,"Aparcament Avinguda Sofia, Calipolis",,,,"Avinguda Sofia, 2",Barcelona,8,Sitges,2,cotxe i moto,POINT (1.80405 41.234074),457,34
B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.379936,2.189115,B:SM 59 - Barceloneta Centre,,,BAMSA011,"Carrer Escuder, 1",Barcelona,8,Barcelona,1,cotxe,POINT (2.189115 41.379936),512,29
